,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
150,Andy Walker,0,0,1976,111,UTA,Niagara University,1,40,438,180,75,32,0.462,0.0,0.7659999999999999,11.0,4.5,1.9,0.8,0.7,0.081,-2.4,0.0,1
151,Richard Bryant,0,0,1976,128,UTA,Texas State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,Calvin Robinson,0,0,1976,148,UTA,Mississippi Valley State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
153,Art Johnson,0,0,1976,164,UTA,Iowa State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
154,Greg Kelser,0,0,1979,4,DET,Michigan State University,6,305,6032,2961,1402,411,0.486,0.16699999999999998,0.6859999999999999,19.8,9.7,4.6,1.3,8.6,0.069,-0.8,1.9,1
155,Roy Hamilton,0,0,1979,10,DET,"University of California, Los Angeles",2,73,1121,336,110,192,0.4,0.0,0.684,15.4,4.6,1.5,2.6,-0.4,-0.017,-5.8,-1.1,1
156,Phil Hubbard,0,0,1979,15,DET,University of Michigan,10,665,15863,7228,3538,857,0.495,0.038,0.706,23.9,10.9,5.3,1.3,29.0,0.08800000000000001,-0.7,5.3,1
157,Tony Price,0,0,1979,29,DET,University of Pennsylvania,1,5,29,4,0,3,0.28600000000000003,0.0,0.0,5.8,0.8,0.0,0.6,-0.1,-0.08900000000000001,-10.6,-0.1,1
158,Terry Duerod,0,0,1979,48,DET,University of Detroit Mercy,4,143,1977,961,160,170,0.462,0.32899999999999996,0.672,13.8,6.7,1.1,1.2,1.0,0.023,-4.9,-1.5,1
159,Flintie Ray Williams,0,0,1979,92,DET,"University of Nevada, Las Vegas",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160,Truman Claytor,0,0,1979,111,DET,University of Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
161,Ken Jones,0,0,1979,132,DET,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
162,Rodney Lee,0,0,1979,150,DET,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
163,Val Bracey,0,0,1979,170,DET,Central Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
164,Willie Polk,0,0,1979,187,DET,Grand Canyon University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
165,Chuckie Williams,0,0,1976,15,CLE,Kansas State University,1,22,65,37,4,7,0.298,0.0,0.75,3.0,1.7,0.2,0.3,-0.2,-0.13699999999999998,-11.5,-0.2,1
166,Mo Howard,0,0,1976,32,CLE,University of Maryland,1,32,345,152,39,42,0.485,0.0,0.6859999999999999,10.8,4.8,1.2,1.3,0.6,0.084,-0.5,0.1,1
167,Gary Cole,0,0,1976,50,CLE,University of Wisconsin-Parkside,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
